Conference,Schools,W,L,W-L%,SRS,SOS,AP
Big Ten,14,255,181,0.585,15.12,10.49,6
Big 12,10,188,125,0.601,14.4,10.02,3
Big East,10,195,117,0.625,13.66,9.19,4
Pac-12,12,226,152,0.598,11.47,7.66,1
ACC,15,276,197,0.584,11.06,7.73,4
SEC,14,254,183,0.581,10.76,7.36,2
American,12,213,155,0.579,8.1,4.75,1
WCC,10,191,136,0.584,5.79,3.33,2
Mountain West,11,190,162,0.54,5.24,4.02,1
A-10,14,244,189,0.564,4.73,2.69,1
Missouri Valley,10,177,147,0.546,1.95,0.96,0
MAC,12,211,169,0.555,0.14,-0.51,0
Conference USA,14,225,213,0.514,-0.24,-0.1,0
Sun Belt,12,197,185,0.516,-0.78,-0.34,0
Southern,10,178,147,0.548,-1.62,-1.73,0
Ivy League,8,114,112,0.504,-2.15,-1.77,0
Colonial,10,168,156,0.519,-3.06,-2.43,0
Big Sky,11,174,168,0.509,-3.07,-2.08,0
Big West,9,134,148,0.475,-4.26,-1.87,0
Summit League,9,141,142,0.498,-4.29,-2.68,0
Horizon League,10,153,171,0.472,-6.04,-3.7,0
Metro Atlantic,11,157,180,0.466,-6.83,-5.64,0
America East,9,141,145,0.493,-6.96,-5.06,0
WAC,9,130,141,0.48,-7.12,-4.05,0
Patriot League,10,153,166,0.48,-7.35,-5.55,0
Ohio Valley,12,180,202,0.471,-7.62,-5.54,0
Atlantic Sun,9,130,155,0.456,-7.85,-4.83,0
Northeast,11,159,189,0.457,-9.04,-6.32,0
Southland,13,188,214,0.468,-9.42,-5.92,0
Big South,11,166,189,0.468,-9.86,-6.81,0
MEAC,11,131,208,0.386,-14.34,-8.36,0
SWAC,10,122,190,0.391,-14.97,-8.14,0